State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,
,Marshall,75,0,2,13,60,603,230,315,58,,
,Rankin,40,0,3,5,32,784,216,538,30,4,
,Tate,11,0,1,1,9,295,109,136,50,0,
MISSISSIPPI,Adams,51,1,3,3,44,575,149,378,48,6,
,Bolivar,2,1,0,1,0,1,0,1,0,1,
,Choctaw,11,0,3,0,8,86,34,45,7,0,
,Claiborne5,,1,2,11,,116,55,57,4,0,
,Coahoma,10,1,0,2,7,128,62,53,13,3,
,Greene,9,2,1,2,4,24,15,8,1,1,
,Grenada,15,0,2,2,11,164,74,73,17,0,
,Jefferson,38,0,1,1,36,50,17,33,0,2,
,Lauderdale,38,1,11,12,14,524,236,252,36,3,
,Leake,0,0,0,0,0,24,14,10,0,1,
,Lee,64,0,5,7,52,670,265,372,33,8,
,Leflore,104,1,6,7,90,505,234,261,10,2,
,Lincoln,16,1,0,0,15,340,88,225,27,0,
,Lowndes,75,3,20,10,42,476,151,296,29,7,
,Oktibbeha,61,3,2,5,51,184,82,92,10,2,
,Panola,46,1,1,2,42,498,243,231,24,0,
,Pearl River,37,0,15,8,14,705,283,365,57,5,
,Pike,23,2,1,3,17,469,189,246,34,,
,Sunflower,160,2,16,75,67,101,82,12,7,0,
,Union,4,1,0,1,2,199,87,96,16,10,
,Warren,21,2,5,4,10,305,104,171,30,1,
,Washington,13,0,3,4,6,425,169,224,32,9,
,Winston,8,0,0,2,6,13,8,3,2,0,
MISSOURI,Andrew,17,0,0,1,16,107,33,69,5,0,
,Bates,34,1,5,0,28,155,62,84,9,0,
,Bollinger,9,1,1,1,6,83,30,51,2,1,
,Boone,111,1,5,11,94,794,236,508,50,11,
,Buchanan,20,0,1,2,17,226,75,137,14,2,
,Caldwell,9,0,1,0,8,70,20,38,12,2,
,Callaway,25,2,4,2,17,807,199,566,42,3,
,Cape Girardeau,117,0,1,4,112,281,116,151,14,0,
,Cass,71,0,6,3,62,347,128,188,31,1,
,Christian,108,0,2,0,106,293,98,173,22,1,
,Clay,21,0,2,2,17,216,98,99,19,6,
,Clinton,13,0,3,0,10,93,24,53,16,1,
,Cole,46,0,3,3,40,496,152,327,17,3,
,Dallas4,,0,0,1,,146,47,90,9,1,
,DeKalb,11,0,4,1,6,92,34,50,8,2,
,Franklin,63,2,8,3,50,845,174,623,48,2,
,Greene,87,0,16,21,50,"1,440",337,954,149,16,
,Howard,3,1,0,0,2,54,14,40,0,0,
,Jackson,60,3,4,14,39,602,186,341,75,2,
,Jasper,103,2,12,4,85,618,204,368,46,8,
,Jefferson,434,1,49,25,359,"3,507",431,"2,884",192,35,
,Lafayette,19,1,0,0,18,158,54,93,11,0,
,Lincoln,57,0,0,0,57,286,100,147,39,5,
,McDonald,76,1,7,1,67,389,91,256,42,7,
,Moniteau,9,0,2,0,7,67,28,29,10,0,
,Newton,86,2,9,1,74,789,207,496,86,13,
,Osage,7,0,1,2,4,153,46,97,10,1,
,Platte,41,0,2,2,37,337,81,248,8,3,
,Polk,31,0,4,0,27,318,145,155,18,0,
,Ray2,19,0,0,0,19,98,42,49,7,0,
,St. Charles,203,1,6,17,179,"1,293",301,920,72,13,
,St. Louis County,"1,165",15,83,328,739,"11,407","2,530","7,767","1,110",75,
,Warren,110,0,2,3,105,232,72,138,22,5,
,Washington,34,2,0,0,32,189,48,105,36,0,
,Webster,45,0,0,0,45,240,77,144,19,2,
MISSOURI,Adair,14,0,2,0,12,12,8,2,2,0,
,Atchison,0,0,0,0,0,26,7,17,2,0,
,Audrain,12,0,0,2,10,160,58,96,6,0,
,Barry,83,0,4,0,79,361,107,245,9,0,
,Barton,13,0,3,1,9,83,25,58,0,4,
,Benton,53,0,4,1,48,190,56,129,5,0,
,Butler,53,0,0,2,51,545,149,355,41,0,
,Camden,39,0,0,0,39,459,123,301,35,2,
,Carroll,6,0,2,1,3,43,7,25,11,0,
,Carter,0,0,0,0,0,33,11,16,6,0,
,Cedar,3,0,0,0,3,82,24,57,1,0,
,Clark,9,0,1,1,7,50,25,20,5,0,
,Cooper,8,0,1,0,7,184,69,100,15,1,
,Crawford,5,0,0,0,5,127,43,74,10,0,
,Dade,3,0,0,0,3,58,12,33,13,0,
,Daviess,2,0,0,0,2,66,33,27,6,0,
,Dent,9,1,0,0,8,110,44,61,5,1,
,Douglas4,,2,0,0,,97,40,39,18,2,
,Dunklin,24,0,1,1,22,245,58,173,14,1,
,Gasconade,5,0,0,0,5,141,49,81,11,0,
,Gentry,3,0,1,1,1,48,21,25,2,2,
,Grundy,4,0,1,0,3,42,18,20,4,0,
,Harrison,4,0,0,0,4,53,23,29,1,0,
,Henry,40,0,6,0,34,277,95,155,27,1,
,Hickory,3,1,0,0,2,121,43,65,13,0,
,Holt,9,0,0,1,8,64,28,32,4,0,
,Howell,57,2,4,0,51,394,130,235,29,3,
,Iron,20,0,0,0,20,73,20,39,14,0,
,Johnson,34,0,0,0,34,307,100,180,27,0,
,Knox,4,0,0,0,4,105,18,87,0,0,
,Laclede,33,1,5,0,27,305,88,177,40,5,
,Lawrence,48,0,1,2,45,307,107,175,25,3,
,Lewis,6,0,0,1,5,56,15,39,2,0,
,Linn,17,0,0,0,17,65,34,24,7,2,
,Livingston,1,0,0,0,1,61,28,31,2,0,
,Macon4,,0,0,0,,55,25,27,3,0,
,Madison,12,0,1,0,11,61,22,31,8,0,
,Maries,8,0,0,1,7,65,31,29,5,0,
,Marion,4,0,0,0,4,70,14,53,3,1,
,Mercer,3,0,0,0,3,28,18,7,3,1,
,Miller,62,2,4,0,56,223,67,130,26,0,
,Mississippi,19,1,0,0,18,57,17,38,2,0,
,Monroe,15,0,1,1,13,80,38,38,4,0,
,Montgomery,13,1,0,0,12,99,54,38,7,0,
,Morgan,73,0,1,1,71,267,117,135,15,0,
,New Madrid,38,3,0,1,34,56,17,33,6,1,
,Nodaway,12,1,0,0,11,146,55,78,13,0,
,Oregon,22,1,0,1,20,35,4,29,2,1,
,Ozark4,,4,2,1,,152,78,67,7,0,
,Pemiscot,12,2,3,2,5,109,33,69,7,0,
,Perry,9,0,0,0,9,88,20,61,7,1,
,Pettis,37,0,0,0,37,249,63,171,15,1,
,Phelps,52,0,3,1,48,323,85,219,19,2,
,Pike,12,0,0,0,12,101,39,44,18,4,
,Pulaski,103,2,15,4,82,298,119,160,19,1,
,Putnam,1,0,0,0,1,12,9,3,0,0,
,Ralls,23,0,3,0,20,116,45,63,8,3,
,Randolph2,7,0,0,0,7,82,32,44,6,0,
,Reynolds,6,0,1,0,5,18,12,1,5,0,
,Ripley,23,1,1,2,19,207,62,135,10,2,
,Saline,14,0,4,0,10,125,44,66,15,0,
,Schuyler,5,0,2,0,3,9,1,5,3,1,
,Scotland,1,1,0,0,0,26,9,15,2,1,
,Scott,24,0,1,2,21,145,35,102,8,1,
,Shannon,11,0,1,0,10,40,14,23,3,0,
,Shelby,0,0,0,0,0,66,32,32,2,0,
,St. Clair,6,2,0,1,3,138,50,86,2,0,
,Ste. Genevieve,22,1,0,0,21,163,50,96,17,4,
,St. Francois,76,0,4,2,70,607,191,361,55,5,
,Stoddard,23,0,1,2,20,143,76,66,1,0,
,Stone,104,1,2,3,98,604,189,347,68,2,
,Sullivan,11,0,2,0,9,71,27,31,13,1,
,Taney,98,0,8,1,89,584,147,390,47,0,
,Texas,20,0,3,0,17,188,50,123,15,4,
,Vernon,34,0,3,1,30,238,58,153,27,4,
,Wayne,27,0,0,0,27,94,35,49,10,0,
,Worth,6,0,0,0,6,22,8,13,1,0,
,Wright,24,1,0,1,22,95,34,54,7,0,
MONTANA,Cascade,48,1,3,1,43,327,48,254,25,2,
,Missoula,114,1,14,2,97,659,136,470,53,9,
,Yellowstone,60,0,10,0,50,596,120,424,52,3,
MONTANA,Beaverhead,14,0,0,0,14,49,10,36,3,0,
,Big Horn,58,0,1,1,56,166,8,138,20,1,
,Blaine,4,0,1,0,3,27,7,18,2,0,
,Broadwater,10,1,4,0,5,91,2,87,2,1,
,Carter,0,0,0,0,0,2,1,1,0,0,
,Chouteau,1,0,0,0,1,20,2,14,4,2,
,Dawson,6,0,4,0,2,83,6,73,4,0,
,Deer Lodge,27,0,1,0,26,135,18,97,20,1,
,Fallon,0,0,0,0,0,7,0,7,0,0,
,Fergus,7,0,0,0,7,30,8,19,3,0,
,Flathead,197,3,18,7,169,"1,201",211,896,94,6,
,Gallatin,49,0,19,1,29,423,71,309,43,5,
,Garfield,0,0,0,0,0,0,0,0,0,0,
,Glacier,9,0,1,0,8,40,3,32,5,0,
,Granite,0,0,0,0,0,33,4,27,2,0,
,Hill,32,1,4,2,25,145,9,125,11,2,
,Jefferson,15,0,3,0,12,48,12,31,5,1,
,Judith Basin,3,0,0,0,3,13,4,9,0,0,
,Lake,53,1,7,0,45,291,66,188,37,6,
,Lewis and Clark,36,0,3,0,33,270,65,178,27,4,
,Lincoln,25,1,5,0,19,239,51,169,19,1,
,Madison,13,1,1,0,11,83,23,55,5,2,
,McCone,1,0,0,0,1,18,2,9,7,0,
,Meagher,4,0,1,0,3,14,1,13,0,0,
,Mineral,13,0,0,1,12,11,4,5,2,0,
,Musselshell,9,0,0,0,9,58,2,56,0,1,
,Park,29,1,4,0,24,74,25,42,7,2,
,Phillips,5,0,0,0,5,56,18,34,4,0,
,Pondera,1,0,1,0,0,11,1,9,1,0,
,Powell,25,0,0,1,24,123,20,100,3,1,
,Ravalli,41,0,6,0,35,345,68,265,12,3,
,Roosevelt,18,0,0,0,18,29,7,19,3,0,
,Rosebud,14,0,1,1,12,67,7,54,6,0,
,Sanders,27,2,4,1,20,122,10,101,11,1,
,Sheridan,8,0,1,0,7,74,16,53,5,0,
,Silver Bow,148,0,8,4,136,"1,473",196,"1,139",138,5,
,Stillwater,8,0,0,0,8,42,16,22,4,0,
,Sweet Grass,12,0,1,0,11,22,3,16,3,0,
,Teton,2,0,0,0,2,56,10,45,1,0,
,Toole,15,0,2,0,13,86,10,72,4,2,
,Valley,3,0,0,0,3,26,4,19,3,0,
,Wibaux,0,0,0,0,0,3,0,3,0,0,
NEBRASKA,Cass,10,0,1,1,8,245,72,162,11,2,
,Dakota,8,0,0,1,7,27,9,14,4,0,
,Dixon,4,0,2,0,2,76,25,44,7,0,
,Douglas,165,0,5,9,151,"1,151",273,795,83,0,
,Lancaster,22,2,3,1,16,347,82,255,10,3,
,Sarpy,21,0,12,1,8,767,124,593,50,3,
,Saunders,6,0,0,0,6,75,29,45,1,0,
,Washington,1,0,0,1,0,119,22,86,11,2,
NEBRASKA,Adams,3,0,1,2,0,149,44,101,4,2,
,Antelope,1,0,0,0,1,24,8,15,1,0,
,Arthur,0,0,0,0,0,0,0,0,0,0,
,Box Butte,1,0,0,0,1,7,2,4,1,0,
,Boyd,1,0,0,0,1,13,6,7,0,0,
,Brown,1,0,0,0,1,51,9,40,2,0,
,Buffalo,12,0,5,0,7,126,25,89,12,1,
,Burt,7,0,1,0,6,37,15,22,0,0,
,Butler,9,0,1,4,4,22,4,18,0,0,
,Cedar,0,0,0,0,0,1,0,1,0,0,
,Chase,1,0,0,0,1,14,4,9,1,0,
,Cherry,3,0,0,0,3,8,3,4,1,0,
,Colfax,9,0,0,0,9,45,5,37,3,0,
,Cuming,0,0,0,0,0,10,1,9,0,0,
,Custer,3,0,1,0,2,51,8,37,6,0,
,Dawes,1,0,0,0,1,11,4,7,0,0,
,Dawson,10,1,3,0,6,83,17,54,12,0,
,Deuel,0,0,0,0,0,31,6,21,4,1,
,Dodge,9,0,0,2,7,175,44,120,11,0,
,Franklin,0,0,0,0,0,19,1,15,3,0,
,Frontier,0,0,0,0,0,27,5,20,2,0,
,Furnas,2,0,0,0,2,33,5,22,6,0,
,Gosper,0,0,0,0,0,13,1,12,0,0,
,Hall,12,0,1,2,9,225,57,152,16,2,
,Hamilton,2,0,1,1,0,50,8,40,2,0,
,Harlan,2,0,2,0,0,4,1,0,3,0,
,Hitchcock,1,0,0,0,1,4,4,0,0,0,
,Hooker,0,0,0,0,0,0,0,0,0,0,
,Jefferson,0,0,0,0,0,87,21,61,5,0,
,Kearney,3,0,1,0,2,59,7,49,3,0,
,Keith,0,0,0,0,0,56,12,42,2,0,
,Keya Paha,1,0,0,0,1,9,3,6,0,0,
,Knox,0,0,0,0,0,37,15,22,0,0,
,Lincoln,18,1,2,1,14,191,30,159,2,0,
,Madison,7,0,2,1,4,74,15,52,7,3,
,Merrick,8,0,0,0,8,54,14,36,4,0,
,Morrill,2,0,0,0,2,29,4,22,3,0,
,Nance,4,0,0,0,4,11,1,10,0,0,
,Otoe,3,1,0,1,1,64,11,47,6,1,
,Pawnee,2,0,0,0,2,57,10,38,9,0,
,Perkins,2,0,1,0,1,36,16,16,4,0,
,Phelps,0,0,0,0,0,33,2,26,5,1,
,Platte,4,0,0,0,4,161,51,103,7,1,
,Polk,0,0,0,0,0,60,7,52,1,0,
,Red Willow,0,0,0,0,0,35,7,25,3,0,
,Richardson,3,0,0,0,3,98,28,64,6,0,
,Rock,0,0,0,0,0,9,3,6,0,0,
,Saline,3,0,1,0,2,66,31,29,6,1,
,Scotts Bluff,9,1,4,0,4,104,21,74,9,0,
,Sheridan,3,0,0,0,3,50,13,35,2,0,
,Sherman,2,0,0,0,2,12,3,8,1,0,
,Sioux,0,0,0,0,0,0,0,0,0,0,
,Stanton,3,0,0,0,3,42,9,31,2,0,
,Thayer,2,0,0,0,2,96,21,69,6,1,
,Wayne,2,0,0,0,2,14,3,10,1,0,
,Webster,2,0,0,0,2,34,9,21,4,0,
,Wheeler,1,0,0,0,1,5,1,4,0,0,
,York,2,0,1,0,1,54,7,41,6,0,
NEVADA,Carson City,231,0,0,24,207,"1,265",291,874,100,8,
,Storey,12,0,0,2,10,64,23,37,4,0,
,Washoe,239,0,1,14,224,"1,516",530,824,162,8,
NEVADA,Churchill,20,1,3,1,15,205,68,119,18,1,
,Douglas,62,1,7,5,49,747,193,509,45,7,
,Elko,24,0,9,1,14,188,91,80,17,4,
,Esmeralda,3,0,0,0,3,10,5,3,2,1,
,Eureka,6,0,1,0,5,17,6,9,2,0,
,Humboldt,59,0,0,1,58,48,27,18,3,4,
,Lander,49,0,10,2,37,118,28,78,12,0,
,Lincoln,6,1,0,1,4,34,7,22,5,2,
,Lyon,83,0,1,5,77,781,253,455,73,4,
,Mineral,15,0,0,0,15,24,14,7,3,0,
,Nye,124,4,23,20,77,892,275,507,110,14,
,Pershing,33,0,4,2,27,51,25,23,3,0,
,White Pine,20,2,1,3,14,111,45,55,11,0,
NEW HAMPSHIRE,Rockingham,44,0,0,0,44,1,0,1,0,0,
NEW HAMPSHIRE,Carroll,3,0,1,0,2,33,11,17,5,1,
,Cheshire,2,0,0,0,2,8,0,8,0,0,
,Merrimack,6,0,1,0,5,4,0,4,0,1,
NEW MEXICO,Bernalillo,942,10,54,137,741,"2,733",940,"1,369",424,60,
,Dona Ana,304,5,26,8,265,"1,348",431,757,160,21,
,Sandoval,36,0,2,1,33,183,120,62,1,0,
,San Juan,258,4,35,6,213,920,266,559,95,3,
,Santa Fe,179,3,27,13,136,778,551,210,17,11,
,Valencia,108,5,13,12,78,991,458,306,227,27,
NEW MEXICO,Catron,2,0,0,0,2,19,9,10,0,0,
,Chaves,56,2,11,3,40,417,227,149,41,1,
,Cibola,14,0,0,0,14,85,48,29,8,0,
,Colfax,4,0,0,0,4,12,6,6,0,0,
,Curry7,17,0,0,2,15,,56,,16,2,
,Eddy,67,0,19,5,43,445,165,259,21,0,
,Grant,13,2,0,0,11,70,38,32,0,0,
,Lincoln,52,0,0,0,52,131,57,71,3,0,
,Luna,77,2,2,1,72,328,153,133,42,0,
,Otero5,,1,8,3,,243,124,106,13,0,
,Quay,4,0,0,0,4,16,10,5,1,0,
,Roosevelt,7,0,2,0,5,67,30,31,6,0,
,Socorro,21,0,0,2,19,79,41,33,5,1,
NEW YORK,Albany,33,0,4,3,26,103,28,74,1,0,
,Broome,56,1,9,7,39,"1,001",197,780,24,3,
,Chemung,15,1,3,1,10,339,77,251,11,3,
,Dutchess,60,0,2,4,54,815,195,584,36,2,
,Erie,128,1,15,10,102,966,197,735,34,5,
,Herkimer,0,0,0,0,0,5,0,5,0,0,
,Livingston,34,0,6,1,27,482,90,385,7,3,
,Madison,12,0,3,0,9,274,79,191,4,3,
,Monroe,195,3,16,51,125,"3,779",588,"3,054",137,8,
,Nassau,"1,602",14,58,748,782,"14,847","1,929","11,900","1,018",,
,Niagara,78,2,9,8,59,"1,387",378,960,49,6,
,Oneida,26,1,4,2,19,421,133,276,12,5,
,Onondaga,188,1,27,40,120,"1,873",360,"1,427",86,10,
,Ontario,44,0,10,6,28,970,187,760,23,1,
,Orange,11,0,1,1,9,47,23,22,2,1,
,Orleans,17,1,2,2,12,292,88,182,22,2,
,Oswego,36,1,8,6,21,385,123,232,30,0,
,Putnam,33,1,2,8,22,345,84,251,10,4,
,Rockland,9,0,1,1,7,44,2,41,1,0,
,Saratoga,49,0,8,6,35,"1,281",238,"1,009",34,7,
,Schenectady,3,0,0,1,2,47,2,44,1,0,
,Schoharie,2,0,0,0,2,105,34,70,1,2,
,Suffolk,"2,166",39,91,890,"1,146","26,235","3,805","20,490","1,940",265,
,Tioga,15,0,4,1,10,253,60,183,10,4,
,Tompkins,28,1,6,2,19,407,83,307,17,0,
,Warren,51,0,7,8,36,738,89,640,9,4,
,Washington,31,2,9,2,18,355,78,270,7,1,
,Wayne,50,0,7,7,36,618,149,443,26,8,
,Westchester,41,0,1,1,39,136,9,125,2,0,
NEW YORK,Allegany,0,0,0,0,0,1,0,1,0,0,
,Cattaraugus,44,2,3,2,37,552,173,348,31,2,
,Cayuga,25,0,2,1,22,354,74,274,6,0,
,Chautauqua,30,2,10,2,16,823,251,550,22,7,
,Chenango,4,1,0,1,2,322,61,251,10,1,
,Clinton,4,0,0,0,4,9,1,8,0,0,
,Columbia,25,1,2,0,22,320,83,230,7,0,
,Cortland,12,1,8,1,2,300,47,239,14,0,
,Delaware,11,0,3,1,7,110,53,53,4,0,
,Essex,0,0,0,0,0,0,0,0,0,0,
,Franklin,0,0,0,0,0,0,0,0,0,0,
,Fulton,13,0,0,2,11,324,87,224,13,0,
,Genesee,48,1,10,2,35,663,135,501,27,0,
,Greene,11,0,0,0,11,78,43,27,8,0,
,Lewis,12,0,1,0,11,188,89,89,10,2,
,Montgomery,25,0,0,4,21,404,65,327,12,1,
,Otsego,12,0,2,0,10,216,87,123,6,1,
,Schuyler,8,0,1,0,7,87,26,60,1,0,
,Seneca,13,0,3,1,9,203,38,151,14,2,
,Steuben,6,0,2,0,4,69,9,60,0,0,
,St. Lawrence,13,0,1,1,11,52,16,34,2,0,
,Sullivan,28,1,1,4,22,477,134,325,18,10,
,Wyoming,13,0,0,0,13,217,55,154,8,0,
,Yates,6,0,0,2,4,152,55,96,1,0,
NORTH CAROLINA,Alamance,161,1,5,16,139,"1,275",493,712,70,5,
,Alexander,78,3,9,10,56,758,298,418,42,7,
,Anson,83,4,4,15,60,608,247,300,61,1,
,Brunswick,162,2,21,27,112,"2,147",961,"1,036",150,32,
,Buncombe,194,5,24,50,115,"2,462",877,"1,356",229,7,
,Burke,100,3,7,18,72,"1,295",545,649,101,3,
,Cabarrus,73,4,11,16,42,"1,160",519,583,58,7,
,Caldwell,63,3,2,12,46,"1,472",519,856,97,17,
,Cumberland,740,13,34,182,511,"4,852","1,335","3,164",353,41,
,Currituck,44,1,4,2,37,514,170,325,19,2,
,Davie,43,1,4,7,31,671,259,380,32,2,
,Durham,60,1,1,19,39,922,309,542,71,2,
,Edgecombe,71,4,8,13,46,586,292,229,65,7,
,Franklin5,,1,5,14,,868,382,387,99,6,
,Gaston,16,0,0,0,16,4,0,3,1,0,
,Guilford,216,2,22,41,151,"2,154",870,"1,117",167,33,
,Haywood,98,0,6,4,88,958,390,517,51,5,
,Henderson,71,0,12,17,42,"1,582",626,816,140,1,
,Hoke,26,2,1,16,7,789,558,193,38,1,
,Johnston,187,3,25,35,124,"2,691","1,001","1,436",254,11,
,Madison,4,0,2,0,2,217,91,113,13,1,
,Nash,79,2,7,25,45,842,374,319,149,17,
,New Hanover,184,1,25,50,108,"2,635",676,"1,823",136,11,
,Onslow,289,6,31,49,203,"3,148","1,127","1,812",209,22,
,Orange,50,5,5,29,11,822,427,345,50,3,
,Person,67,2,5,6,54,626,231,351,44,1,
,Pitt,255,1,10,36,208,"1,835",736,984,115,6,
,Randolph,124,1,3,22,98,"2,208",647,"1,411",150,8,
,Rockingham,72,1,3,18,50,"1,517",532,864,121,1,
,Stokes,101,1,4,7,89,973,336,557,80,4,
,Union,311,5,17,22,267,"2,104",894,"1,087",123,11,
,Wake,165,3,15,34,113,"1,903",677,"1,010",216,13,
,Wayne,171,4,1,32,134,"2,101",819,"1,066",216,2,
,Yadkin,103,0,13,5,85,621,235,325,61,7,
NORTH CAROLINA,Alleghany,1,0,0,1,0,28,2,26,0,0,
,Ashe,23,0,4,2,17,413,206,180,27,,
,Avery,20,0,4,0,16,195,64,120,11,1,
,Beaufort,130,1,8,13,108,778,325,391,62,14,
,Bertie,26,1,5,6,14,289,132,131,26,2,
,Bladen,139,2,1,19,117,"1,074",381,637,56,11,
,Camden,9,0,2,1,6,98,30,65,3,1,
,Cherokee,39,0,2,1,36,549,171,366,12,3,
,Chowan,24,0,1,2,21,170,75,91,4,3,
,Clay,11,0,0,0,11,153,35,106,12,1,
,Cleveland,52,0,27,21,4,"1,537",665,691,181,2,
,Columbus,161,3,3,36,119,"1,705",767,758,180,5,
,Dare,41,0,6,2,33,706,179,491,36,4,
,Gates,9,0,3,1,5,227,62,145,20,2,
,Granville,60,0,7,12,41,891,336,482,73,8,
,Halifax,161,3,8,30,120,"1,103",563,432,108,16,
,Hertford,30,3,2,9,16,398,166,192,40,2,
,Iredell,225,3,25,20,177,"1,914",705,"1,058",151,10,
,Lee,41,3,3,9,26,734,287,364,83,12,
,Lenoir,170,0,2,14,154,"1,051",359,638,54,13,
,Lincoln,98,1,14,10,73,"1,819",681,"1,060",78,8,
,Martin5,,1,3,6,,448,202,195,51,9,
,McDowell,54,5,2,12,35,661,266,345,50,5,
,Montgomery,64,2,3,6,53,482,172,266,44,1,
,Moore,56,2,12,5,37,866,395,385,86,12,
,Pasquotank,76,1,8,14,53,344,143,187,14,3,
,Perquimans,4,0,2,0,2,146,73,69,4,1,
,Richmond,150,5,2,31,112,"1,160",478,606,76,13,
,Robeson,628,17,18,139,454,"4,085","2,137","1,524",424,34,
,Rowan,199,3,16,26,154,"1,468",493,882,93,13,
,Rutherford,157,0,11,23,123,"1,373",480,783,110,20,
,Sampson,144,6,14,35,89,"1,434",739,554,141,9,
,Scotland,55,6,2,12,35,754,445,259,50,19,
,Stanly,36,2,7,6,21,549,243,281,25,4,
,Transylvania,36,0,2,1,33,385,169,186,30,5,
,Tyrrell,7,0,2,1,4,64,3,58,3,1,
,Vance,83,5,1,17,60,"1,398",721,594,83,8,
,Warren,39,1,6,10,22,553,240,270,43,5,
,Watauga,22,1,0,3,18,497,185,288,24,1,
,Wilkes,174,2,3,18,151,"1,332",555,689,88,4,
,Wilson,98,1,1,15,81,777,245,457,75,9,
,Yancey,14,0,0,1,13,144,71,65,8,1,
NORTH DAKOTA,Burleigh,22,0,9,0,13,157,46,101,10,1,
,Cass,4,0,1,0,3,185,57,112,16,2,
,Grand Forks,6,0,0,0,6,69,18,39,12,0,
,Morton,11,0,6,0,5,78,14,59,5,0,
NORTH DAKOTA,Barnes,1,0,0,0,1,28,8,17,3,0,
,Bottineau,0,0,0,0,0,21,9,11,1,0,
,Burke,0,0,0,0,0,21,10,10,1,0,
,Cavalier,2,0,0,0,2,37,3,30,4,0,
,Dickey,0,0,0,0,0,16,2,13,1,0,
,Eddy,1,0,0,0,1,9,4,5,0,0,
,Emmons,1,0,0,0,1,29,14,14,1,0,
,Griggs,0,0,0,0,0,0,0,0,0,0,
,Hettinger,0,0,0,0,0,9,1,6,2,0,
,Kidder,0,0,0,0,0,2,1,1,0,0,
,Lamoure,2,0,0,0,2,4,1,2,1,0,
,Logan,0,0,0,0,0,4,0,4,0,0,
,McHenry,0,0,0,0,0,24,5,16,3,0,
,McIntosh,1,0,0,0,1,5,0,5,0,0,
,McKenzie,0,0,0,0,0,31,4,24,3,0,
,McLean,14,0,4,0,10,125,39,80,6,0,
,Mercer,2,0,0,0,2,19,7,8,4,0,
,Mountrail,3,0,0,0,3,56,10,41,5,0,
,Nelson,2,0,0,0,2,21,4,10,7,0,
,Oliver,0,0,0,0,0,4,0,4,0,0,
,Pembina,3,0,0,0,3,27,6,15,6,0,
,Pierce,0,0,0,0,0,1,1,0,0,0,
,Ramsey,1,0,0,0,1,32,5,20,7,0,
,Renville,0,0,0,0,0,6,1,5,0,0,
,Richland,14,0,1,1,12,84,25,54,5,0,
,Sargent,1,0,0,0,1,25,0,25,0,0,
,Sheridan,0,0,0,0,0,9,2,6,1,0,
,Stark,6,0,1,0,5,78,4,54,20,1,
,Stutsman,3,0,3,0,0,52,13,35,4,2,
,Towner,0,0,0,0,0,24,11,13,0,0,
,Traill,0,0,0,0,0,29,7,13,9,2,
,Walsh,5,0,3,0,2,110,44,51,15,1,
,Ward,17,0,4,0,13,111,39,61,11,1,
,Wells,0,0,0,0,0,36,23,13,0,0,
,Williams,12,0,2,0,10,105,41,52,12,2,
OHIO,Allen,55,0,12,22,21,"1,273",270,969,34,2,
,Belmont,28,0,12,6,10,562,162,350,50,6,
,Brown,9,0,3,2,4,471,174,281,16,2,
,Carroll,1,0,1,0,0,90,25,58,7,2,
,Clark,19,1,4,5,9,"1,359",346,948,65,7,
,Clermont,61,1,28,13,19,"1,788",492,"1,203",93,12,
,Erie,33,1,2,5,25,593,177,377,39,1,
,Fairfield,26,1,8,10,7,"1,202",309,846,47,4,
,Fulton,18,0,8,2,8,360,111,225,24,2,
,Geauga,6,1,1,1,3,224,50,166,8,1,
,Greene,22,0,7,3,12,425,157,247,21,6,
,Hamilton,317,3,51,185,78,"6,621","1,110","5,292",219,50,
,Jefferson,25,0,3,1,21,408,109,274,25,3,
,Licking,23,0,1,10,12,"1,107",321,688,98,4,
,Lorain,39,0,13,14,12,789,417,353,19,19,
,Lucas,85,0,13,16,56,"1,409",338,957,114,12,
,Mahoning,10,0,0,3,7,252,60,182,10,0,
,Miami,5,0,4,0,1,561,155,372,34,9,
,Morrow,4,0,1,2,1,255,94,146,15,0,
,Ottawa,5,0,4,1,0,352,68,274,10,0,
,Pickaway,45,0,6,4,35,"1,093",408,658,27,11,
,Portage,27,0,8,14,5,"1,799",516,"1,177",106,11,
,Preble,22,0,5,1,16,428,152,256,20,5,
,Richland,41,0,15,5,21,"1,249",403,789,57,12,
,Summit,41,3,9,14,15,"1,161",247,838,76,9,
,Trumbull,27,2,6,1,18,505,147,295,63,2,
,Union,11,0,2,0,9,352,98,244,10,2,
,Washington,75,2,14,1,58,396,121,256,19,1,
,Wood,2,0,0,2,0,471,183,268,20,3,
OHIO,Adams,7,1,2,1,3,441,172,255,14,2,
,Ashland,10,0,1,0,9,271,113,145,13,4,
,Athens,11,0,2,0,9,46,10,36,0,2,
,Auglaize,5,0,3,0,2,294,67,222,5,0,
,Champaign,13,0,7,0,6,426,139,244,43,8,
,Coshocton,18,2,5,1,10,783,183,578,22,11,
,Crawford,5,0,1,1,3,245,71,165,9,0,
,Darke,49,0,13,2,34,391,142,236,13,5,
,Fayette,18,0,8,5,5,576,128,434,14,2,
,Guernsey,14,0,10,0,4,366,153,199,14,3,
,Hancock,7,0,2,0,5,325,111,205,9,7,
,Hardin,5,0,1,2,2,336,119,209,8,0,
